ASSUMPTIONS TAB - Real Estate Development Analysis

SITE AND ACQUISITION
OPTION 3: MOBILE ONE R&D - DETAILED ASSUMPTIONS
Description	Value	Unit	Notes
Site Coverage Limit	30%	%	Given - parking/landscaping constraints
Building SF	169884	SF	566280*0.30
Hard and Soft Costs	550	$/SF	Given (excl. acquisition) - specialized
Total Construction Cost	93436200	$	169884*550
Lease Term	10	years	Given
Required Return on Cost	14%	%	Given - tenant will pay rent to achieve this
Required NOI	15181068	$	108436200*0.14
Implied Rent (NNN)	89.36	$/SF/yr	15181068/169884
Operating Expenses	15.00	$/SF/yr	Given
Implied Full Service Rent	104.36	$/SF/yr	89.36+15.00
Tenant Occupancy Deadline	30-36	months	Given - must occupy within this window
Exit Cap Rate	8.00	%	Startup risk, above-market rent, re-lease risk

OPTION 3: MOBILE ONE - TENANT CREDIT ANALYSIS
Description	Value	Unit	Notes
Current Cash	120000000	$	Given
Annual Burn Rate	30000000	$/yr	Given - R&D expenses
Cash Runway (current)	4.0	years	120M/30M
Expected Additional Funding	150000000-200000000	$	Over next 18 months
Funding Timing	18	months	Expected timeframe
Product Status	None	-	No product yet
Revenue	0	$	Pre-revenue company

OPTION 3: MOBILE ONE - MARKET RENT COMPARISON
Description	Value	Unit	Notes
Contract Rent (NNN equivalent)	89.36	$/SF/yr	To achieve 14% ROC
Market Rent (Full Service)	55.00	$/SF/yr	Low end of $55-65 range
Market Rent (Full Service)	65.00	$/SF/yr	High end of $55-65 range
Market Rent (Full Service) - Mid	60.00	$/SF/yr	Midpoint
Market Rent (NNN equivalent)	45.00	$/SF/yr	60-15 OpEx
Premium to Market - $	44.36	$/SF/yr	89.36-45.00
Premium to Market - %	98.6%	%	44.36/45.00 - MAJOR RED FLAG
R&D Market Vacancy	12%	%	Given - weak market

OPTION 3: R&D - PARKING ANALYSIS
Description	Value	Unit	Notes
Total Land SF	566280	SF	13 acres
Building Footprint	169884	SF	30% coverage
Remaining for Parking/Landscape	396396	SF	70% of site
Typical Parking Ratio (R&D)	3.0	spaces/1000 SF	Industry standard for R&D
Required Parking Spaces	510	spaces	169884/1000*3
Parking Space Size (w/ drive aisle)	350	SF/space	Industry standard
Parking Area Required	178416	SF	510*350
Landscape/Detention/Other	217980	SF	396396-178416

HDP DEVELOPER PROFILE
Description	Assessment	Notes
Location	Oakland-based	Local market knowledge
Experience - Industrial	Familiar	Per case - familiar with local market
Experience - Retail (Big Box)	Yes	Prior experience developing big box
Experience - R&D	None	First R&D project - risk factor
Capital Capacity	Unknown	Not stated - assume can fund all options

CAP RATE JUSTIFICATION
Option	Cap Rate	Risk Factors	Justification
Option 1 - Industrial	7.25%	Low	Midpoint of 7.00-7.50% given range; functional renovated space; proven market
Option 2 - Walmart	5.75%	Medium	AA credit; 15-yr NNN; rent bumps; offset by entitlement risk and timeline
Option 3 - Mobile One	8.00%	Very High	Startup tenant; 99% premium to market; 10-yr term only; re-lease risk; HDP inexperience
